Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeSeconds
0 days 00:00:57.582000,19.0,58.3,935.8,False,27.8,193,0.1,57.582
0 days 00:01:57.581000,19.0,58.7,935.8,True,27.7,160,0.1,117.581
0 days 00:02:57.577000,19.1,58.8,935.7,True,27.6,213,0.1,177.577
0 days 00:03:57.568000,19.1,57.2,935.7,True,27.8,213,0.1,237.568
0 days 00:04:57.593000,19.2,57.9,935.7,True,27.8,234,0.2,297.593
0 days 00:05:57.610000,19.2,57.9,935.8,False,28.0,244,0.2,357.61
0 days 00:06:57.610000,19.1,57.5,935.6,False,28.0,0,0.1,417.61
0 days 00:07:57.627000,19.2,57.9,935.7,True,27.9,175,0.1,477.627
0 days 00:08:57.624000,19.2,58.1,935.6,True,27.9,134,0.1,537.624
0 days 00:09:57.640000,19.3,57.4,935.6,False,28.1,240,0.1,597.64
0 days 00:10:57.661000,19.4,56.0,935.6,False,28.3,212,0.2,657.661
0 days 00:11:57.657000,19.4,55.5,935.6,False,28.3,228,0.1,717.657
0 days 00:12:57.656000,19.4,55.3,935.6,False,28.3,244,0.1,777.656
0 days 00:13:57.655000,19.4,54.5,935.6,False,28.4,223,0.2,837.655
0 days 00:14:57.656000,19.4,54.4,935.6,False,28.6,243,0.1,897.656
0 days 00:15:57.672000,19.4,54.5,935.5,False,28.4,227,0.1,957.672
0 days 00:16:57.688000,19.4,54.5,935.5,False,28.4,227,0.1,1017.688
0 days 00:17:57.687000,19.5,54.1,935.5,False,28.4,241,0.2,1077.687
0 days 00:18:57.690000,19.5,53.9,935.6,False,28.7,237,0.2,1137.69
0 days 00:19:57.703000,19.6,53.8,935.6,False,28.7,241,0.3,1197.703
0 days 00:20:57.708000,19.6,53.8,935.6,False,28.7,241,0.3,1257.708
0 days 00:21:57.705000,19.6,54.2,935.5,False,28.7,238,0.2,1317.705
0 days 00:22:57.713000,19.6,54.3,935.5,False,28.7,228,0.1,1377.713
0 days 00:23:57.720000,19.7,54.1,935.5,False,28.7,286,0.2,1437.72
0 days 00:24:57.734000,19.7,53.7,935.4,False,28.9,99,0.0,1497.734
0 days 00:25:57.733000,19.8,53.5,935.5,False,28.9,144,0.1,1557.733
0 days 00:26:57.735000,19.9,53.4,935.5,False,29.1,139,0.1,1617.735
0 days 00:27:57.736000,19.9,52.6,935.4,False,29.1,109,0.3,1677.736
0 days 00:28:57.735000,19.9,52.7,935.4,False,29.2,86,0.2,1737.735
0 days 00:29:57.738000,19.9,52.9,935.4,False,29.2,91,0.1,1797.738
0 days 00:30:57.735000,19.9,52.8,935.3,False,29.5,93,0.3,1857.735
0 days 00:31:57.735000,19.9,52.3,935.3,False,29.7,83,0.3,1917.735
0 days 00:32:57.735000,20.1,52.2,935.2,False,29.9,61,0.5,1977.735
0 days 00:33:57.734000,20.1,52.3,935.3,False,30.0,56,0.2,2037.734
0 days 00:34:57.735000,20.1,52.2,935.2,False,30.3,44,0.5,2097.735
0 days 00:35:57.724000,20.2,52.2,935.2,False,30.8,79,0.4,2157.724
0 days 00:36:57.735000,20.2,51.5,935.2,False,31.7,125,0.2,2217.735
0 days 00:37:57.734000,20.3,51.7,935.2,False,32.2,341,0.1,2277.734
0 days 00:38:57.733000,20.3,50.9,935.2,False,32.6,295,0.1,2337.733
0 days 00:39:57.741000,20.5,50.6,935.3,False,33.0,246,0.1,2397.741
0 days 00:40:57.735000,20.6,50.6,935.1,False,33.0,242,0.3,2457.735
0 days 00:41:57.736000,20.6,51.6,935.2,False,32.9,256,0.2,2517.736
0 days 00:42:57.734000,20.6,51.1,935.1,False,32.3,281,0.2,2577.734
0 days 00:43:57.736000,20.6,51.5,935.1,False,32.4,25,0.2,2637.736
0 days 00:44:57.737000,20.5,51.5,935.1,False,32.4,25,0.2,2697.737
0 days 00:45:57.738000,20.5,51.2,935.1,False,33.3,11,0.2,2757.738
0 days 00:46:57.736000,20.5,51.2,935.0,False,34.6,293,0.1,2817.736
0 days 00:47:57.734000,20.9,50.5,935.0,False,35.0,275,0.1,2877.734
0 days 00:48:57.735000,20.9,50.2,935.0,False,35.2,280,0.1,2937.735
0 days 00:49:57.740000,20.8,50.2,935.0,False,35.3,40,0.1,2997.74
0 days 00:50:57.735000,20.9,50.9,935.1,False,35.2,340,0.2,3057.735
0 days 00:51:57.735000,20.9,50.9,935.1,False,34.8,335,0.1,3117.735
0 days 00:52:57.736000,21.0,50.4,935.0,False,34.6,337,0.1,3177.736
0 days 00:53:57.734000,21.0,49.7,935.0,False,34.6,157,0.1,3237.734
0 days 00:54:57.752000,20.9,50.0,935.0,False,34.4,21,0.1,3297.752
0 days 00:55:57.749000,20.8,50.5,935.0,False,33.3,24,0.2,3357.749
0 days 00:56:57.751000,20.7,51.3,935.0,False,33.3,241,0.2,3417.751
0 days 00:57:57.743000,20.7,50.4,935.0,False,33.9,245,0.2,3477.743
0 days 00:58:57.766000,20.7,50.1,935.1,False,34.1,271,0.4,3537.766
0 days 00:59:57.785000,20.8,51.1,935.0,False,33.4,245,0.2,3597.785
0 days 01:00:57.799000,20.8,51.1,935.0,False,33.4,257,0.2,3657.799
0 days 01:01:57.807000,20.9,50.7,934.9,False,33.6,321,0.1,3717.807
0 days 01:02:57.798000,20.9,51.2,935.0,False,33.9,2,0.0,3777.798
0 days 01:03:57.821000,21.0,51.0,935.0,False,33.8,2,0.1,3837.821
0 days 01:04:57.830000,21.0,50.5,934.9,False,34.2,113,0.4,3897.83
0 days 01:05:57.844000,21.1,48.5,934.9,False,35.5,283,0.2,3957.844
0 days 01:06:57.844000,21.0,49.4,934.9,False,34.9,73,0.1,4017.844
0 days 01:07:57.844000,21.0,49.4,934.8,False,34.4,60,0.3,4077.844
0 days 01:08:57.861000,20.9,49.9,934.8,False,34.7,31,0.2,4137.861
0 days 01:09:57.881000,21.0,49.5,934.9,False,34.6,60,0.3,4197.881
0 days 01:10:57.859000,21.1,49.6,934.7,False,34.6,336,0.1,4257.859
0 days 01:11:57.861000,21.1,49.5,934.9,False,34.5,96,0.3,4317.861
0 days 01:12:57.849000,21.1,49.4,934.7,False,34.4,1,0.4,4377.849
0 days 01:13:57.859000,21.2,48.3,934.8,False,34.7,94,0.3,4437.859
0 days 01:14:57.860000,21.4,47.6,934.7,False,34.7,44,0.3,4497.86
0 days 01:15:57.860000,21.5,46.3,934.8,False,34.7,94,0.4,4557.86
0 days 01:16:57.869000,21.5,46.9,934.6,False,34.7,99,0.4,4617.869
0 days 01:17:57.860000,21.5,46.1,934.7,False,34.7,93,0.3,4677.86
0 days 01:18:57.860000,21.4,46.3,934.7,False,34.5,290,0.2,4737.86
0 days 01:19:57.861000,21.4,46.8,934.7,False,34.5,122,0.5,4797.861
0 days 01:20:57.859000,21.3,46.8,934.6,False,34.2,158,0.3,4857.859
0 days 01:21:57.861000,21.4,46.7,934.7,False,34.5,84,0.2,4917.861
0 days 01:22:57.858000,21.3,47.3,934.6,False,35.6,85,0.2,4977.858
0 days 01:23:57.860000,21.4,47.3,934.6,False,35.9,91,0.5,5037.86
0 days 01:24:57.859000,21.6,47.3,934.5,False,36.3,53,0.9,5097.859
0 days 01:25:57.859000,21.6,46.4,934.6,False,36.7,70,0.6,5157.859
0 days 01:26:57.860000,21.6,46.8,934.7,False,36.2,83,0.9,5217.86
0 days 01:27:57.858000,21.5,47.8,934.7,False,35.4,82,0.6,5277.858
0 days 01:28:57.860000,21.3,48.1,934.7,False,35.1,51,0.6,5337.86
0 days 01:29:57.876000,21.3,48.0,934.6,False,35.1,90,0.5,5397.876
0 days 01:30:57.892000,21.2,48.1,934.5,False,35.1,94,0.8,5457.892
0 days 01:31:57.904000,21.2,48.5,934.6,False,34.7,71,0.5,5517.904
0 days 01:32:57.905000,21.2,48.7,934.5,False,34.7,79,0.5,5577.905
0 days 01:33:57.905000,21.3,47.7,934.5,False,35.0,88,0.8,5637.905
0 days 01:34:57.923000,21.5,47.2,934.5,False,35.1,75,0.5,5697.923
0 days 01:35:57.942000,21.6,46.8,934.6,False,35.1,50,0.5,5757.942
0 days 01:36:57.939000,21.6,46.6,934.5,False,34.9,20,0.4,5817.939
0 days 01:37:57.942000,21.6,47.3,934.5,False,34.8,73,0.3,5877.942
0 days 01:38:57.954000,21.5,47.2,934.5,False,34.9,59,0.5,5937.954
0 days 01:39:57.953000,21.5,47.1,934.5,False,35.0,4,0.4,5997.953
0 days 01:40:57.952000,21.6,46.5,934.4,False,35.0,0,0.3,6057.952
0 days 01:41:57.953000,21.6,47.0,934.5,False,34.7,61,0.4,6117.953
0 days 01:42:57.968000,21.6,46.2,934.4,False,35.1,56,0.2,6177.968
0 days 01:43:57.958000,21.8,46.1,934.3,False,35.1,18,0.5,6237.958
0 days 01:44:57.985000,21.7,48.4,934.4,False,34.7,80,0.4,6297.985
0 days 01:45:57.984000,21.5,47.9,934.3,False,34.8,96,0.3,6357.984
0 days 01:46:57.985000,21.5,47.3,934.4,False,34.9,72,0.5,6417.985
0 days 01:47:57.982000,21.6,46.8,934.4,False,34.9,95,0.3,6477.982
